player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,adj_market_fvm,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Malen,A,Pc,ROM,38,45.0,6.0,0.5,0.0,0.0,0.0,450,1.0,6.72,6.72,0.0,,0.474,0.778,0.111,0.056,0.167,1.0,15.205,1.548,0.913,0.093,0.73,4.203,1.0268,2.203,44,6,0,0.171,2,0,135,True,1.0,0.678,0.6958,182.0,286.5,311.4,129.4,171.2,450.0,394,194,-56
Paz N.,C,T;A,COM,29,24.5,6.0,0.5,0.0,0.0,0.0,245,2.0,6.373,6.375,0.005,,0.895,0.265,0.176,0.162,0.0,2.0,9.256,6.256,0.303,0.201,0.266,3.707,1.0068,1.982,23,3,0,0.089,0,0,0,False,0.0,0.6248,0.6333,182.0,241.5,252.7,70.7,58.8,252.0,194,95,-51
Krstovic,A,Pc,ATA,18,9.8,6.0,0.5,0.0,0.0,0.0,98,3.0,6.082,6.04,0.102,0.125,0.895,0.275,0.108,0.137,0.029,3.0,14.002,3.166,0.5,0.117,0.444,4.056,1.0354,2.298,3,2,0,0.012,0,2,52,False,0.0,0.6186,0.6197,182.0,236.1,238.1,56.1,120.8,98.0,84,42,-14
Douvikas,A,Pc,COM,22,18.5,6.0,0.5,0.0,0.0,0.0,185,2.0,6.19,6.195,0.015,,0.632,0.333,0.042,0.021,0.021,2.0,11.16,1.816,0.575,0.114,0.551,2.481,1.0068,1.982,10,4,0,0.039,2,0,180,True,1.0,0.5974,0.6009,183.8,241.4,250.4,66.6,126.1,185.0,160,79,-25
Laurientè,A,A,SAS,15,8.3,6.0,0.5,0.0,0.0,0.0,83,1.0,6.23,6.23,0.0,,0.974,0.189,0.243,0.108,0.0,3.0,4.913,6.295,0.168,0.217,0.159,2.419,0.9714,1.594,0,0,0,0.0,2,0,180,True,1.0,0.5733,0.5733,182.0,258.8,259.2,77.2,143.5,83.0,71,35,-12
David,A,Pc,JUV,8,2.5,6.0,0.5,0.0,0.0,0.0,25,1.0,5.77,5.77,0.0,,0.789,0.2,0.067,0.0,0.0,1.0,11.464,4.232,0.578,0.214,0.54,2.068,1.0076,1.992,5,2,0,0.019,1,1,57,True,0.5,0.5688,0.5704,179.8,212.4,212.7,32.9,97.1,25.0,22,11,-3
Da Cunha,C,C;T,COM,18,8.7,6.0,0.5,0.0,0.0,0.0,87,2.0,6.26,6.22,0.12,,0.921,0.129,0.086,0.114,0.057,2.0,5.145,5.31,0.142,0.177,0.091,1.316,1.0068,1.982,0,0,0,0.0,1,1,111,True,0.5,0.5675,0.5675,182.0,234.0,234.6,52.6,51.3,87.0,57,28,-30
Dimarco,D,E;W,INT,31,24.0,6.0,0.5,0.0,0.0,0.0,240,10.0,6.483,5.594,1.875,0.3897,0.637,0.139,0.199,0.085,0.0,4.0,5.566,10.07,0.178,0.394,0.178,2.141,1.1,3.009,56,7,0,0.218,2,0,180,True,1.0,0.5626,0.5816,182.3,234.8,239.2,56.9,59.6,185.0,100,48,-140
Martinez L.,A,Pc,INT,33,36.1,6.0,0.5,0.0,0.0,0.0,361,8.0,6.382,6.35,0.172,0.0352,0.852,0.51,0.112,0.135,0.042,1.0,1.261,0.421,0.353,0.118,0.353,3.913,1.1,3.009,140,12,0,0.544,2,0,144,True,1.0,0.5608,0.6106,182.0,243.0,247.9,65.9,127.7,440.0,385,189,24
Thuram,A,Pc,INT,28,24.9,6.0,0.5,0.0,0.0,0.0,249,3.0,6.415,6.433,0.086,-0.055,0.842,0.417,0.177,0.062,0.0,2.0,3.886,3.668,0.142,0.137,0.142,1.608,1.1,3.009,106,12,0,0.412,0,2,25,False,0.0,0.5601,0.597,180.4,233.8,240.1,59.7,118.5,249.0,216,106,-33
