player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,score_composito,score_composito_base
De Gea,P,Por,FIO,11,3.0,6.0,0.5,0.0,0.0,0.0,30,2.0,6.273,6.29,0.05,,0.947,0.0,0.0,0.014,0.0,,,,,,,,1.0124,2.045,7,2,0,0.027,0.5257,0.5278
Carnesecchi,P,Por,ATA,17,5.5,6.0,0.5,0.0,0.0,0.0,55,5.0,6.325,5.048,2.525,1.271,0.822,0.0,0.008,0.016,0.0,4.0,,0.178,0.0,0.006,0.0,0.0,1.0354,2.298,11,2,0,0.043,0.5134,0.5167
Falcone,P,Por,LEC,8,2.6,6.0,0.5,0.0,0.0,0.0,26,8.0,6.333,4.703,2.718,0.9133,0.719,0.0,0.0,0.039,0.0,,,,,,,,0.9201,1.029,4,2,0,0.016,0.5074,0.5086
Tornqvist,P,Por,MON,1,1.0,6.0,0.5,0.0,0.0,0.0,10,1.0,,,0.0,,,,,,,,,,,,,,0.9337,1.178,0,0,0,0.0,0.5044,0.5044
Mascardi,P,Por,TOR,1,0.5,6.0,0.5,0.0,0.0,0.0,5,,,,,,,,,,,,,,,,,,0.9571,1.436,0,0,0,0.0,0.5027,0.5027
Svilar,P,Por,ROM,19,8.5,6.0,0.5,0.0,0.0,0.0,85,4.0,6.315,6.263,0.17,0.063,0.618,0.0,0.0,0.022,0.0,,,,,,,,1.0268,2.203,0,0,0,0.0,0.5021,0.5021
Grandi,P,Por,VEN,1,0.1,6.0,0.5,0.0,0.0,0.0,1,1.0,,,0.0,,,,,,,,,,,,,,0.9494,1.351,0,0,0,0.0,0.5014,0.5014
Penev,P,Por,LEC,1,0.1,6.0,0.5,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,0.9201,1.029,0,0,0,0.0,0.5014,0.5014
Satalino,P,Por,SAS,1,0.1,6.0,0.5,0.0,0.0,0.0,1,7.0,,,0.0,,,,,,,,,,,,,,0.9714,1.594,0,0,0,0.0,0.5014,0.5014
Vismara,P,Por,ATA,1,0.1,6.0,0.5,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,1.0354,2.298,0,0,0,0.0,0.5014,0.5014
Dimarco,D,E;W,INT,31,24.0,6.0,0.5,0.0,0.0,0.0,240,10.0,6.483,5.594,1.875,0.3897,0.637,0.139,0.199,0.085,0.0,,,,,,,,1.1,3.009,56,7,0,0.218,0.5277,0.5455
Carlos Augusto,D,B;Ds;E,INT,6,2.0,6.0,0.5,0.0,0.0,0.0,20,4.0,6.15,6.155,0.03,-0.006,0.829,0.079,0.095,0.095,0.0,4.0,2.324,2.553,0.12,0.113,0.12,1.192,1.1,3.009,65,8,0,0.253,0.5149,0.5352
Tiago Gabriel,D,Dc,LEC,8,2.0,6.0,0.5,0.0,0.0,0.0,20,2.0,6.083,6.125,0.125,,0.5,0.056,0.0,0.194,0.0,1.0,3.984,0.028,0.111,0.001,0.111,0.558,0.9201,1.029,0,0,0,0.0,0.5102,0.5102
Ramon,D,Dc,COM,10,3.1,6.0,0.5,0.0,0.0,0.0,31,1.0,6.16,6.16,0.0,,0.842,0.062,0.0,0.344,0.0,,,,,,,,1.0068,1.982,35,4,0,0.136,0.504,0.5145
